Course Title,SCED Course Code,Course Description
Earth Science—Other,03049,Other Earth Science courses.
Biology,03051,"Biology courses are designed to provide information regarding the fundamental concepts of life and life processes. These courses include (but are not restricted to) such topics as cell structure and function, general plant and animal physiology, genetics, and taxonomy."
Biology—Advanced Studies,03052,"Usually taken after a comprehensive initial study of biology, Biology—Advanced Studies courses cover biological systems in more detail. Topics that may be explored include cell organization, function, and reproduction; energy transformation; human anatomy and physiology; and the evolution and adaptation of organisms."
Anatomy and Physiology,03053,"Usually taken after a comprehensive initial study of biology, Anatomy and Physiology courses present the human body and biological systems in more detail. In order to understand the structure of the human body and its functions, students learn anatomical terminology, study cells and tissues, explore functional systems (skeletal, muscular, circulatory, respiratory, digestive, reproductive, nervous, and so on), and may dissect mammals."
Anatomy,03054,"Anatomy courses present an in-depth study of the human body and biological system. Students study such topics as anatomical terminology, cells, and tissues and typically explore functional systems such as skeletal, muscular, circulatory, respiratory, digestive, reproductive, and nervous systems."
Physiology,03055,"Physiology courses examine all major systems, tissues, and muscle groups in the human body to help students understand how these systems interact and their role in maintaining homeostasis. These courses may also cover such topics as cell structure and function, metabolism, and the human life cycle."
AP Biology,03056,"Adhering to the curricula recommended by the College Board and designed to parallel college-level introductory biology courses, AP Biology courses emphasize four general concepts: evolution; cellular processes (energy and communication); genetics and information transfer; and interactions of biological systems. For each concept, these courses emphasize the development of scientific inquiry and reasoning skills, such as designing a plan for collecting data, analyzing data, applying mathematical routines, and connecting concepts in and across domains. AP Biology courses include college-level laboratory investigations."
IB Biology,03057,"IB Biology courses prepare students to take the International Baccalaureate Biology exams. In keeping with the general aim of IB Experimental Sciences courses, IB Biology promotes understanding of the facts, principles, and concepts underlying the biological field; critical analysis, evaluation, and generation of scientific information and hypotheses; improved ability to communicate scientific ideas; and an awareness of the impact of biology and scientific advances in biology upon both society and issues of ethical, philosophical, and political importance. Course content varies, but includes study of statistical analysis, cells, the chemistry of life, genetics, ecology and evolution, and human health and physiology, nucleic acids, metabolism, plant biology, genetics, and animal physiology. Laboratory experimentation is an essential component of these courses."
Botany,03058,"Botany courses provide students with an understanding of plants, their life cycles, and their evolutionary relationships."
Genetics,03059,"Genetics courses provide students with an understanding of general concepts concerning genes, heredity, and variation of organisms. Course topics typically include chromosomes, the structure of DNA and RNA molecules, and dominant and recessive inheritance and may also include lethal alleles, epistasis and hypostasis, and polygenic inheritance."
Microbiology,03060,"Microbiology courses provide students with a general understanding of microbes, prokaryotic and eukaryotic cells, and the three domain systems. Additional topics covered may include bacterial control, cell structure, fungi, protozoa, viruses and immunity, microbial genetics, and metabolism."
Zoology,03061,"Zoology courses provide students with an understanding of animals, the niche they occupy in their environment or habitat, their life cycles, and their evolutionary relationships to other organisms. These courses should also help students develop an awareness and understanding of biotic communities."
Conceptual Biology,03062,"These courses provide students with a basic understanding of living things. Topics covered may include ecology and environmental problems such as overpopulation and pollution as well as cells, types of organisms, evolutionary behavior, and inheritance."
Particular Topics in Biology,03063,"Particular Topics in Biology courses concentrate on a particular subtopic within the field of biology (such as botany, zoology, genetics, and so on) that is not otherwise described within this classification system."
Regional Biology,03064,"Regional Biology courses are designed to provide information regarding the fundamental concepts of life and life processes as related to the local environment. Course topics may include nature appreciation, local flora and fauna, biology, and zoology."
"IB Sports, Exercise, and Health Science",03065,"IB Sports, Exercise, and Health Science courses prepare students to take the International Baccalaureate Sports, Exercise, and Health Science exam. These courses are designed to provide students with an understanding of the science of physical performance. Course topics may include anatomy and physiology, biomechanics, psychology and nutrition, and the measurement and evaluation of human performance."
PLTW Principles of Biomedical Science,03066,"Following Project Lead the Way’s suggested curriculum, PLTW Principles of Biomedical Science courses focus on a case study in which students investigate the cause of death of a fictional person. Students conduct research, in which they examine autopsy reports, review medical history, and study human physiology, biology, and medicine to diagnose and recommend treatments that could have been applied."
PLTW Human Body Systems,03067,"Following Project Lead the Way’s suggested curriculum, PLTW Human Body Systems courses are designed for students to assume the role of biomedical professionals to solve real-world medical cases and experience science in action. In these courses, students study the interactions of systems within the human body by building organs and tissues on a skeletal manikin and use data acquisition software to monitor bodily functions. Course content also includes the exploration of identity, power, movement, protection, and homeostasis."
PLTW Medical Interventions,03068,"Following Project Lead the Way’s suggested curriculum, PLTW Medical Interventions courses focus on the health of a fictitious family that students must support by providing disease prevention, diagnosis, and treatments. In these courses, students study infections, human DNA code, cancer treatment, and organ failure. Course topics may also include immunology, surgery, genetics, pharmacology, medical devices, and diagnostics."
Nutrition Science,03069,"Nutrition Science courses focus on the examination of individual nutrients; their structure and function in the human body; nutrient composition of food; and selection of food to meet nutrient needs, maintain health and provide satisfaction. Topics covered include digestion, absorption, and metabolism of carbohydrates, lipids, and proteins; vitamins and minerals; physical activity; nutritional needs throughout the life cycle; and evaluation of nutritional claims."
PLTW Biomedical Innovation,03070,"Following Project Lead the Way’s suggested curriculum, PLTW Biomedical Innovation courses help students apply their knowledge and skills to design innovative solutions related to biomedical challenges. These courses address topics ranging from public health and biomedical engineering to clinical medicine and physiology. Theses courses may also provide students with the opportunity to work with a mentor or advisor from a university, medical facility, or research institution. Students may design and complete an independent project as part of the course."
Biology—Independent Study,03097,"Biology—Independent Study courses, often conducted with instructors as mentors, enable students to explore scientific topics of interest, using advanced methods of scientific inquiry and experimentation. These courses may be offered in conjunction with other science courses or may serve as an opportunity for students to explore a topic of special interest."
Biology—Workplace Experience,03098,"Biology—Workplace Experience courses provide work experience in a field related to biology. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Biology—Other,03099,Other Biology courses.
Chemistry,03101,"Chemistry courses involve studying the composition, properties, and reactions of substances. These courses typically explore such concepts as the behaviors of solids, liquids, and gases; acid/base and oxidation/reduction reactions; and atomic structure. Chemical formulas and equations and nuclear reactions are also studied."
Chemistry—Advanced Studies,03102,"Usually taken after a comprehensive initial study of chemistry, Chemistry—Advanced Studies courses cover chemical properties and interactions in more detail. Advanced chemistry topics include organic chemistry, thermodynamics, electrochemistry, macromolecules, kinetic theory, and nuclear chemistry."
Organic Chemistry,03103,"Organic Chemistry courses involve the study of organic molecules and functional groups. Topics covered may include nomenclature, bonding molecular structure and reactivity, reaction mechanisms, and current spectroscopic techniques."
Physical Chemistry,03104,"Usually taken after completing a calculus course, Physical Chemistry courses cover chemical kinetics, quantum mechanics, molecular structure, molecular spectroscopy, and statistical mechanics."
Conceptual Chemistry,03105,"Conceptual Chemistry courses are practical, nonquantitative chemistry courses designed for students who desire an understanding of chemical concepts and applications."
AP Chemistry,03106,"Following the curricula recommended by the College Board, AP Chemistry courses usually follow high school chemistry and second-year algebra. Concepts covered may include the structure of matter; bonding of intermolecular forces; chemical reactions; kinetics; thermodynamics; and chemical equilibrium. For each concept, these courses emphasize the development of scientific inquiry and reasoning skills, such as designing a plan for collecting data, analyzing data, applying mathematical routines, and connecting concepts in and across domains. AP Chemistry courses include college-level laboratory investigations."
IB Chemistry,03107,"IB Chemistry courses prepare students to take the International Baccalaureate Chemistry exams. In keeping with the general aim of IB Experimental Sciences courses, IB Chemistry promotes understanding of the facts, patterns, and principles underlying the field of chemistry; critical analysis, evaluation, prediction, and generation of scientific information and hypotheses; improved ability to communicate scientific ideas; and an awareness of the impact of chemistry and scientific advances in chemistry upon both society and issues of ethical, philosophical, and political importance. Course content varies, but includes the study of quantitative and organic chemistry; atomic structure, periodicity, bonding, energetics, kinetics, equilibrium, acids and bases, oxidations and reduction, and measurement and data processing. Laboratory experimentation is an essential part of these courses."
Particular Topics in Chemistry,03108,Particular Topics in Chemistry courses concentrate on a particular subtopic within the field of chemistry (such as chromatography and spectrometry) that is not otherwise described in this classification system.
Chemistry—Independent Study,03147,"Chemistry—Independent Study courses, often conducted with instructors as mentors, enable students to explore scientific topics of interest, using advanced methods of scientific inquiry and experimentation. These courses may be offered in conjunction with other rigorous science courses or may serve as an opportunity to explore a topic of special interest."
Chemistry—Workplace Experience,03148,"Chemistry—Workplace Experience courses provide work experience in a field related to chemistry. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Chemistry—Other,03149,Other Chemistry courses.
Physics,03151,"Physics courses involve the study of the forces and laws of nature affecting matter, such as equilibrium, motion, momentum, and the relationships between matter and energy. The study of physics includes examination of sound, light, and magnetic and electric phenomena."
Physics—Advanced Studies,03152,"Usually taken after a comprehensive initial study of physics, Physics—Advanced Studies courses provide instruction in laws of conservation, thermodynamics, and kinetics; wave and particle phenomena; electromagnetic fields; and fluid dynamics."
Principles of Technology,03153,"Principles of Technology courses focus on the study of the forces and laws of nature and their application to modern technology. Equilibrium, motion, momentum, energy conversion, electromagnetism, and optical phenomena are presented in the context of current, real-world applications. Demonstrations, mathematics labs, and applied laboratory experiments are an integral part of the Principles of Technology curriculum. These courses may enable students to gain a solid foundation for careers in electronics, robotics, telecommunications, and other technological fields."
AP Physics C,03156,"AP Physics C courses prepare students for the College Board’s examinations in Physics C: Electricity and Magnetism and Physics C: Mechanics. These courses parallel college-level physics courses that serve as a partial foundation for science or engineering majors and primarily focus on mechanics and electricity and magnetism, with approximately equal emphasis placed on these two areas. See SCED Codes 03163 and 03164 for detailed content descriptions."
IB Physics,03157,"IB Physics courses prepare students to take the International Baccalaureate Physics exams. In keeping with the general aim of IB Experimental Sciences courses, IB Physics promotes understanding of the facts, patterns, and principles underlying the field of physics; critical analysis, prediction, and application of scientific information and hypotheses; improved ability to communicate scientific ideas; and an awareness of the impact of scientific advances in physics upon both society and issues of ethical, philosophical, and political importance. Course content varies, but includes the study of physical measurement; mechanics; thermal, atomic, and nuclear physics; oscillations and waves; electric currents; fields and forces; and energy, power, and climate change. Laboratory experimentation is essential; calculus may be used in some courses."
Life Science,03158,"Life Science courses cover the basic principles of life and life processes. These topics may include cells, species, ecosystems, reproduction, genetics, or other topics consistent with state academic standards for life science."
Physical Science,03159,"Physical Science courses involve study of the structures and states of matter. Typically (but not always) offered as introductory survey courses, they may include such topics as forms of energy, wave phenomenon, electromagnetism, and physical and chemical interactions."
Conceptual Physics,03161,"Conceptual Physics courses introduce students to the use of chemicals, characteristic properties of materials, and simple mechanics to better describe the world and nonliving matter. The courses emphasize precise measurements and descriptive analysis of experimental results. Topics covered may include energy and motion, electricity, magnetism, heat, the structure of matter, and how matter reacts to materials and forces."
Particular Topics in Physics,03162,"Particular Topics in Physics courses concentrate on a particular subtopic within the field of physics (such as optics, thermodynamics, quantum physics, and so on) that is not otherwise described in this classification system."
AP Physics C: Electricity and Magnetism,03163,"Designed by the College Board to parallel college-level physics courses that serve as a partial foundation for science or engineering majors, AP Physics C: Electricity and Magnetism courses focus on electricity and magnetism, including topics such as electrostatics; conductors, capacitors, and dielectrics; electric circuits; magnetic fields; and electromagnetism. AP Physics C courses require the use of calculus to solve the problems posed."
AP Physics C: Mechanics,03164,"Designed by the College Board to parallel college-level physics courses that serve as a partial foundation for science or engineering majors, AP Physics C: Mechanics courses focus on classical mechanics, including topics in kinematics; Newton's laws of motion; work, energy, and power; systems of particles and linear momentum; circular motion and rotation; oscillations; and gravitation. AP Physics C courses require the use of calculus to solve the problems posed."
AP Physics 1,03165,"Designed by the College Board to parallel first-semester college-level courses in algebra-based physics, AP Physics 1 courses focus on Newtonian mechanics (including rotational motion); work, energy, and power; mechanical waves and sound; and introductory circuits. These courses may also include college-level laboratory investigations."
AP Physics 2,03166,"Designed by the College Board to parallel second-semester college-level courses in algebra-based physics, AP Physics 2 courses cover fluid statics and dynamics; thermodynamics with kinetic theory, PV diagrams and probability; electrostatics; electrical circuits with capacitors; magnetic fields; electromagnetism; physical and geometric optics; and quantum, atomic, and nuclear physics. These courses may also include college-level laboratory investigations."
Physics—Independent Study,03197,"Physics—Independent Study courses, often conducted with instructors as mentors, enable students to explore scientific topics of interest, using advanced methods of scientific inquiry and experimentation. These courses may be offered in conjunction with other rigorous science courses or may provide students with an opportunity to explore a topic of special interest."
Physics—Workplace Experience,03198,"Physics—Workplace Experience courses provide work experience in a field related to physics. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Physics—Other,03199,Other Physics courses.
Integrated Science,03201,"The specific content of Integrated Science courses varies, but they draw upon the principles of several scientific specialties—earth science, physical science, biology, chemistry, and physics—and organize the material around thematic units. Common themes covered include systems, models, energy, patterns, change, and constancy. These courses use appropriate aspects from each specialty to investigate applications of the theme."
Unified Science,03202,"Unified Science courses combine more than one branch of science into a cohesive study or may integrate science with another discipline. General scientific concepts are explored, including the principles underlying the scientific method and experimentation techniques."
Applied Biology/Chemistry,03203,"Applied Biology/Chemistry courses integrate biology and chemistry into a unified domain of study and present the resulting body of knowledge in the context of work, home, society, and the environment, emphasizing field and laboratory activities. Topics include natural resources, water, air and other gases, nutrition, disease and wellness, plant growth and reproduction, life processes, microorganisms, synthetic materials, waste and waste management, and the community of life."
Technological Inquiry,03204,"Technological Inquiry courses provide students with an understanding of the use of process skills as an integral part of scientific activity and technological development. Students learn how scientific phenomena are explained, measured, predicted, organized, and communicated."
Origins of Science,03205,"Origins of Science courses explore the body of scientific knowledge and discoveries from an historical perspective, wherein students gain an understanding of how one discovery led to others or to entire revolutions of thought. In these courses, original experiments may be replicated, and students may study primary materials."
IB Design Technology,03206,"IB Design Technology courses prepare students to take the International Baccalaureate Design Technology exams. In keeping with the general aim of IB Experimental Sciences courses, IB Design Technology courses promote using critical-thinking and design skills to solve problems in a practical context. Practical/investigative work centers on the design process; product design, development, and innovation; green design; materials; and evaluation."
AP Environmental Science,03207,"AP Environmental Science courses are designed by the College Board to provide students with the scientific principles, concepts, and methodologies required to understand the interrelationships of the natural world, identify and analyze environmental problems (both natural and human made), evaluate the relative risks associated with the problems, and examine alternative solutions for resolving and/or preventing them. Topics covered include science as a process, ecological processes and energy conversions, earth as an interconnected system, the impact of humans on natural systems, cultural and societal contexts of environmental problems, and the development of practices that will ensure sustainable systems."
IB Environmental Systems and Societies,03208,"IB Environmental Systems courses prepare students to take the International Baccalaureate Environmental Systems exam by providing them with the knowledge, methods, and techniques to understand the nature and functioning of natural systems, the relationships that affect environmental equilibrium, and human impact on the biosphere. Topics also include ecosystem integrity and sustainability, students’ own relationships to the environment, and the nature of internationalism in resolving major environmental issues. This is considered an interdisciplinary course and students may receive credit within two IB subject areas: sciences, and individuals and societies."
Aerospace,03209,"Aerospace courses explore the connection between meteorology, astronomy, and flight across and around the earth as well as into outer space. In addition to principles of meteorology (e.g., atmosphere, pressures, winds and jet streams) and astronomical concepts (e.g., solar system, stars, and interplanetary bodies), course topics typically include the history of aviation, principles of aeronautical decisionmaking, airplane systems, aerodynamics, and flight theory."
"Science, Technology and Society",03210,"Science, Technology, and Society courses encourage students to explore and understand the ways in which science and technology shape culture, values, and institutions and how such factors, in turn, shape science and technology. Topics covered may include how science and technology enter society and how they change as a result of social processes."
Technical Science,03211,"Technical Science courses introduce students to scientific tools and methods and provide an introduction to chemistry and physics. Topics covered typically include measurement conversion, model creation, use of scientific methods, interpretation of atoms, identification of the properties of common compounds, analysis of chemical equations, the impact of force on linear motion, and the study of various physical phenomena and forms of energy."
Scientific Research and Design,03212,"In Scientific Research and Design courses, students conceive of, design, and complete a project using scientific inquiry and experimentation methodologies. Emphasis is typically placed on safety issues, research protocols, controlling or manipulating variables, data analysis, and a coherent display of the project and its outcome(s)."
"IB Sciences, Middle Years Program",03213,"International Baccalaureate (IB) Sciences, Middle Years Program courses provide to students a body of knowledge and an understanding of the scientific approach to problem solving. It may be organized as biology, chemistry, and physics, or as an integrated sciences course. The course requires students to formulate hypotheses, design and carry out experiments to test them, and evaluate results."
Forensic Laboratory Science,03214,"Forensic Laboratory Science courses involve the application of biological, chemical, and physical science principles to data and physical evidence related to evidence collection and analysis. The courses focus on the application of scientific knowledge and scientific principles to collect, preserve, and analyze evidence in a laboratory setting. Topics may include but are not limited to entomology, forensic anthropology, serology, and fingerprinting."
Science (early childhood education),03228,"Science (early childhood education) courses cover foundational skills and concepts related to science, such as investigation and observation. Content is age appropriate and conforms to any existing state standards for early childhood education."
Science (pre-kindergarten),03229,"Science (pre-kindergarten) courses cover foundational skills and concepts related to science, such as investigation and observation. Content is age-appropriate and conforms to any existing state standards for pre-kindergarten education."
Science (kindergarten),03230,"Science (kindergarten) courses encourage students to observe and describe properties of organisms, systems, and the environment. Students may raise questions, identify patterns, and record observations. Specific content depends upon state standards for kindergarten."
Science (grade 1),03231,"Science (grade 1) courses allow students to identify interactions and patterns in objects and events and to record observations in written or visual form. Typically, students investigate systems of living organisms and the environment. Specific content depends upon state standards for grade 1."
Science (grade 2),03232,"Science (grade 2) courses continue to introduce students to basic scientific processes and principles. Course content may include identification of patterns, classification and sequencing, or manipulation of systems to observe interactions between parts and record the effects of change. Specific content depends upon state standards for grade 2."
Science (grade 3),03233,"Science (grade 3) courses involve observation, measurement, and description of simple systems. Course content may include the scientific process; life and environmental science; and physical, earth, and space science. Specific content depends upon state standards for grade 3."
Science (grade 4),03234,"Science (grade 4) courses typically explore complex systems, such as plant and animal adaptation, forces and motion, and physical and chemical changes in matter, or content consistent with state academic standards. Students may identify causes and effects of change, make predictions, and gather data from multiple sources. Specific content depends upon state standards for grade 4."
Science (grade 5),03235,"Science (grade 5) courses build on the study of various systems. They may include identification and description of cycles, comparisons of forms of matter and energy, forces, or content consistent with state academic standards. Students may make comparisons and interpret and analyze information. Specific content depends upon state standards for grade 5."
Science (grade 6),03236,"Science (grade 6) courses typically include subject matter from several strands of science, including earth/space sciences, physical sciences, and life or environmental sciences, and may organize material around thematic units. Specific content depends upon state standards for grade 6."
Science (grade 7),03237,"Science (grade 7) courses build on previous years of scientific inquiry and typically include subject matter from several strands of science, including earth sciences, physical sciences, and life or environmental sciences, and may organize material around thematic units. Specific content depends upon state standards for grade 7."
Science (grade 8),03238,"Science (grade 8) courses typically include subject matter from several strands of science, including earth sciences, physical sciences, and life or environmental sciences, and may organize material around thematic units. Specific content depends upon state standards for grade 8."
Science—General,03239,"Science—General courses involve content that is not grade differentiated and may apply to a range of consecutive grades (e.g., “by third grade, students should know and be able to do…”). These courses include content that may be applicable to states or localities that do not employ grade-level content standards. [These courses provide broad content that is not organized as described elsewhere (i.e., Science, early childhood education through grade 8).]"
Life and Physical Sciences—Proficiency Development,03994,Life and Physical Sciences—Proficiency Development courses are designed to assist students in acquiring the skills necessary to pass proficiency examinations related to the life sciences and physical sciences.
Life and Physical Sciences—Aide,03995,"Life and Physical Sciences—Aide courses offer students the opportunity to assist instructors in preparing, organizing, or delivering course curricula. Students may provide tutorial or instructional assistance to other students and may serve as laboratory assistants."
Life and Physical Sciences—Supplemental,03996,"Life and Physical Sciences—Supplemental courses, designed to be taken in addition or in coordination with other life and physical science courses, provide instruction to assist students in acquiring science skills so that students attain necessary grade-level skills or reach a desired competency level."
Life and Physical Sciences—Independent Study,03997,"Life and Physical Sciences—Independent Study courses, often conducted with instructors as mentors, enable students to explore scientific topics of interest, using advanced methods of scientific inquiry and experimentation. These courses may be offered in conjunction with other rigorous science courses or may serve as an opportunity to explore a topic of special interest."
Life and Physical Sciences—Workplace Experience,03998,"Life and Physical Sciences—Workplace Experience courses provide work experience in a field related to life and/or physical science. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Life and Physical Sciences—Other,03999,Other Life and Physical Sciences courses.
World Geography,04001,"World Geography courses provide students with an overview of world geography, but may vary widely in the topics they cover. Topics typically include the physical environment; the political landscape; the relationship between people and the land; economic production and development; and the movement of people, goods, and ideas."
Particular Topics in Geography,04002,"Particular Topics in Geography courses examine a particular topic in geography, such as physical or cultural geography, or the geography of a particular area or region, rather than provide an overview of the field."
IB Geography,04003,"IB Geography courses prepare students to take the International Baccalaureate Geography exams. These courses integrate both physical and human geography and explore scientific and socio-economic methodologies and fieldwork. In general, IB Geography courses aim to help students understand the relationships within society, the relationships between society and the natural environment, and how those relationships change over time."
AP Human Geography,04004,"Following the College Board’s suggested curriculum designed to parallel college-level Human Geography courses, AP Human Geography introduces students to the systematic study of patterns and processes that have shaped the ways in which humans understand, use, and alter the earth’s surface. Students use spatial concepts and landscape analysis to examine human social organization and its environmental consequences and also learn about the methods and tools geographers use in their science and practice."
U.S. Geography,04005,"U.S. Geography courses provide an overview of the geography of the United States. Topics typically include the physical environment, the political landscape, the relationship between people and the land, and economic production and development."
Geography—Independent Study,04047,"Geography—Independent Study courses, often conducted with instructors as mentors, enable students to explore topics of interest within geography. Independent Study courses may provide students with an opportunity to expand their expertise in a particular specialization, to explore a topic of special interest, or to develop more advanced skills."
Geography—Workplace Experience,04048,"Geography—Workplace Experience courses provide work experience in a field related to geography. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Geography—Other,04049,Other Geography courses.
World History—Overview,04051,"World History—Overview courses provide students with an overview of the history of human society from early civilization to the contemporary period, examining political, economic, social, religious, military, scientific, and cultural developments. World History—Overview courses may include geographical studies, but often these components are not as explicitly taught as geography."
World History and Geography,04052,"In addition to covering the objectives of World History—Overview courses, World History and Geography courses provide an overview of world geography. These courses are often developed in response to increased national concern regarding the importance of geography, and they explore geographical concepts."
Modern World History,04053,"Modern World History courses provide an overview of the history of human society in the past few centuries—from the Renaissance period, or later, to the contemporary period—exploring political, economic, social, religious, military, scientific, and cultural developments."
IB History,04054,"IB History courses prepare students to take the International Baccalaureate History exams. In these courses, students study historical developments at national, regional, and international levels; critically reflect on their relationship to the present; and explore the nature of historical documentation and the methods used by historians. IB History courses may survey the history of Europe and the Islamic world or focus on 20th-century topics in an international context and may enable students to undertake individual study on a subject of interest in greater detail and depth."
Modern European History,04055,"Modern European History courses examine the development of political, social, and economic movements in Europe over the past few centuries (from the Renaissance period, or later, to the contemporary period) and usually include such topics as the rise of the modern nation state, scientific and industrial revolutions, the age of exploration and nationalism, imperialism, and world war."
AP European History,04056,"Following the College Board’s suggested curriculum designed to parallel college-level European History courses, AP European History courses examine European civilization in four chronological periods, from 1450 to the present, and also expose students to the factual narrative. In addition, these courses help students develop an understanding of some of the principal themes in modern European history and the abilities to analyze historical evidence and to express that understanding and analysis in writing."
Ancient Civilizations,04058,"Ancient Civilizations courses provide a survey of the evolution of society from the ancient Middle East through Greek and Roman civilizations. Typically, in these courses, students study the rise and fall of civilizations and empires, with an emphasis on the legacies they provide to successive societies."
Medieval European History,04059,Medieval European History courses provide a survey of European civilization from the fall of Rome through the late Middle Ages.
Ancient and Medieval History,04060,"Ancient and Medieval History courses combine a study of ancient civilizations and Medieval Europe, beginning with the civilizations of the ancient Middle East and continuing through the late Middle Ages in Europe."
World Area Studies,04061,"World Area Studies courses examine the history, politics, economics, society, and/or culture of one or more regions of the world, such as Africa, Latin America, the former Soviet Union, Far East Asia, and the Middle East. These courses may focus primarily on the history of a particular region or may take an interdisciplinary approach to the contemporary issues affecting the region. Furthermore, these courses may emphasize one particular country (other than the United States), rather than emphasizing a region or continent."
World People Studies,04062,"World People Studies courses allow students to study various types of subgroups that have something in common such as religion, gender, or culture. Similar in style to World Area Studies, but focusing on a group of people rather than on a specific region, these courses examine a subgroup’s history, politics, economics, and/or culture."
Western Civilization,04063,"Western Civilization courses apply an interdisciplinary approach to the study of western cultural traditions, frequently using a chronological framework. Course content typically includes a survey of the major developments in and contributors to art and architecture, literature, religion and philosophy, and culture. These courses may also cover intellectual and political movements."
Contemporary World Issues,04064,"Contemporary World Issues courses enable students to study political, economic, and social issues facing the world. These courses may focus on current issues, examine selected issues throughout the 20th century, and look at historical causes or possible solutions."
Particular Topics in World History,04065,These courses examine particular topics in world history other than those already described elsewhere in this classification system.
AP World History: Modern,04067,"Following the College Board’s suggested curriculum designed to parallel college-level World History courses, AP World History: Modern courses examine world history from 1200 CE to the present with the aim of helping students make connections of historical evolution across times and places. These courses highlight the interaction between humans and the environment; development and interaction of cultures; state-building, expansion and conflict; creation, expansion and interaction of economic systems; development and transformation of social structures; and technology and innovation."
CI Global Perspectives & Independent Research,04068,"Cambridge International (CI) Global Perspectives & Research courses prepare students to take the Cambridge Global Perspectives & Research assessments. These courses teach students to broaden their outlook on our rapidly changing world through critical analysis and reflection on significant global issues. Students will develop the high-demand skills of research, critical thinking and reasoning, and communication through the 'Critical Path' approach."
World History—Independent Study,04097,"World History—Independent Study courses, often conducted with instructors as mentors, enable students to explore topics of interest within world history. Independent Study courses may provide students with an opportunity to expand their expertise in a particular period or area, to explore a topic of special interest, or to develop more advanced skills."
World History—Workplace Experience,04098,"World History—Workplace Experience courses provide work experience in a field related to world history. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
World History—Other,04099,Other World History courses.
U.S. History—Comprehensive,04101,"U.S. History—Comprehensive courses provide students with an overview of the history of the United States, examining time periods from discovery or colonialism through World War II or after. These courses typically include a historical overview of political, military, scientific, and social developments. Course content may include a history of the North American peoples before European settlement."
Early U.S. History,04102,"Early U.S. History courses examine the history of the United States from the colonial period to the Civil War or Reconstruction era (some courses end after this period). Some courses include North American history before European settlement, while others may begin at the formation of the new nation. These courses typically include a historical overview of political, military, scientific, and social developments."
Modern U.S. History,04103,"Modern U.S. History courses examine the history of the United States from the Civil War or Reconstruction era (some courses begin at a later period) through the present time. These courses typically include a historical review of political, military, scientific, and social developments."
AP U.S. History,04104,"Following the College Board’s suggested curriculum designed to parallel college-level U.S. History courses, AP U.S. History courses provide students with the analytical skills and factual knowledge necessary to address critically problems and materials in U.S. history. Students learn to assess historical materials and to weigh the evidence and interpretations presented in historical scholarship. The course examines the discovery and settlement of the New World through the recent past."
State-Specific Studies,04105,"State-Specific Studies courses examine the history, politics, economics, society, and/or cultures of one state in the United States. This course may focus primarily on the history of that state or may take an interdisciplinary approach to the contemporary issues affecting it."
Contemporary U.S. Issues,04106,"Contemporary U.S. Issues courses study the political, economic, and social issues facing the United States, with or without an emphasis on state and local issues. These courses may focus on current issues or may examine selected issues that span throughout the 20th century to the present."
U.S. Ethnic Studies,04107,"U.S. Ethnic Studies courses examine the history, politics, economics, society, and/or culture of one or more of the racial/ethnic groups in the United States. These courses may focus primarily on the history of an individual racial/ethnic group or may take a more comprehensive approach to studying the contemporary issues affecting racial/ethnic groups overall."
U.S. Gender Studies,04108,"U.S. Gender Studies courses examine the history, politics, economics, and/or culture of gender in U.S. society. These courses may focus primarily on gender relations or may take a more comprehensive approach to studying the contemporary issues related to gender."
